game_result,RS,RA,PA,AB,H,second_base,third_base,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batters_number,LOB,IP,Hits_allow,Runs_allow,ER,UER,BB_allow,SO_pitch,HR_allow,HBP_pitch,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB_allow,CS_pitch,AB_pitch,allow_2B,allow_3B,IBB_allow,SH_allow,SF_allow,ROE_allow,GIDP_allow,pitchers_number,game_location,rank
0,3,4,38,35,9,3,0,0,2,3,0,10,0,0,0,0,1,1,0,0.266,0.335,0.448,0.782,14,8,9.0,6,4,4,0,4,10,0,2,3.35,37,151,91,2.0,0.0,0,0,31,2,0,1,0,0,0,2,3,1,2
0,4,10,34,33,6,3,1,2,4,1,1,10,0,0,0,0,0,0,0,0.265,0.333,0.449,0.782,13,3,9.0,11,10,6,4,6,10,1,0,3.38,44,180,110,0.0,0.0,1,0,38,4,0,1,0,0,1,1,4,1,2
0,3,6,39,37,9,4,0,2,3,2,0,12,0,0,0,1,0,0,0,0.264,0.333,0.449,0.782,13,9,9.0,8,6,6,0,5,10,2,0,3.41,40,173,108,0.0,0.0,1,0,34,1,1,0,1,0,0,0,3,1,2
1,6,2,37,32,8,4,3,0,5,4,1,6,0,0,1,2,1,0,0,0.264,0.332,0.451,0.783,15,7,9.0,6,2,2,0,0,10,1,0,3.39,33,124,87,2.0,0.0,0,0,33,0,0,0,0,0,0,0,4,1,2
1,4,3,35,32,8,2,0,1,4,3,0,8,0,0,0,0,0,0,1,0.264,0.332,0.45,0.782,14,6,9.0,10,3,2,1,1,9,0,2,3.38,39,138,93,0.0,0.0,1,0,36,0,0,0,0,0,1,2,4,1,2
0,3,4,36,33,6,2,0,1,3,3,0,13,0,0,0,0,0,0,0,0.263,0.331,0.449,0.78,15,6,8.0,9,4,4,0,3,9,1,0,3.39,36,168,105,1.0,0.0,1,0,33,3,0,0,0,0,0,0,3,0,2
0,0,1,34,30,4,1,0,0,0,3,0,14,0,1,0,0,0,0,0,0.262,0.33,0.446,0.776,14,7,8.0,4,1,1,0,3,10,0,1,3.37,31,135,82,1.0,0.0,0,0,27,3,0,1,0,0,0,1,4,0,2
0,4,5,36,34,7,1,0,3,3,1,1,11,1,0,0,1,0,0,0,0.261,0.329,0.447,0.776,15,5,8.0,8,5,5,0,10,16,1,0,3.39,40,150,89,4.0,1.0,0,1,30,2,0,2,0,0,0,0,5,0,2
1,6,3,35,31,8,4,0,1,5,3,0,6,1,0,0,0,1,1,0,0.261,0.329,0.447,0.776,13,5,9.0,8,3,3,0,1,8,2,0,3.39,35,147,90,1.0,0.0,0,0,34,1,0,0,0,0,0,0,4,1,2
0,0,7,34,31,3,0,0,0,0,3,0,10,0,0,0,1,0,0,0,0.259,0.328,0.443,0.771,15,7,9.0,7,7,7,0,5,9,3,1,3.43,40,166,106,0.0,0.0,3,0,33,1,1,0,0,1,0,0,4,1,2
0,1,2,36,30,7,1,0,1,1,5,0,9,0,1,0,0,2,2,0,0.259,0.328,0.443,0.771,13,8,9.0,8,2,2,0,2,10,0,0,3.41,37,143,92,0.0,0.0,1,0,35,3,0,1,0,0,0,0,3,1,2
0,3,4,39,35,10,1,0,1,2,3,0,6,1,0,0,0,2,1,0,0.259,0.328,0.442,0.771,14,9,8.0,9,4,4,0,0,8,1,0,3.42,34,142,102,0.0,0.0,0,0,34,3,0,0,0,0,1,0,3,0,2
0,5,8,43,37,10,1,0,0,5,6,0,9,0,0,0,0,0,2,0,0.259,0.329,0.44,0.769,15,11,8.0,14,8,8,0,2,8,2,0,3.48,39,151,96,3.0,1.0,0,0,37,3,0,1,0,0,0,1,4,0,2
0,1,7,33,30,4,0,0,0,1,3,0,9,0,0,0,0,1,0,0,0.258,0.328,0.438,0.765,11,5,8.0,8,7,6,1,1,10,2,1,3.51,35,128,86,0.0,0.0,0,0,33,4,0,0,0,0,0,0,2,0,2
1,11,2,45,35,12,6,1,2,11,9,1,6,0,0,1,0,2,0,0,0.259,0.33,0.441,0.77,14,7,9.0,6,2,2,0,3,7,1,0,3.49,35,128,80,0.0,0.0,0,1,32,2,1,1,0,0,0,0,3,0,2
0,3,4,44,42,8,3,0,1,3,2,1,13,0,0,0,1,0,1,0,0.258,0.328,0.44,0.768,17,8,10.1,15,4,4,0,5,9,1,0,3.49,49,198,120,0.0,0.0,2,1,43,2,0,1,1,0,0,1,6,0,3
1,12,2,40,35,9,3,1,4,12,4,0,13,0,0,1,0,0,1,0,0.258,0.328,0.443,0.771,13,1,9.0,8,2,2,0,1,9,2,0,3.48,34,126,87,0.0,0.0,0,1,33,1,0,0,0,0,0,1,3,0,2
1,6,5,42,37,12,4,1,3,6,5,3,15,0,0,0,0,0,0,0,0.259,0.329,0.446,0.775,16,11,9.0,8,5,5,0,4,12,0,0,3.49,39,148,85,3.0,1.0,0,0,34,5,0,0,1,0,0,0,5,1,2
0,3,4,34,31,4,2,1,0,3,2,0,13,0,0,1,1,0,0,0,0.258,0.328,0.444,0.772,16,4,9.0,12,4,4,0,1,10,1,0,3.5,39,147,98,5.0,1.0,1,0,38,4,1,0,0,0,0,0,5,1,2
0,2,6,40,33,6,0,0,0,2,7,0,10,0,0,0,0,0,1,0,0.257,0.328,0.442,0.769,15,11,9.0,9,6,5,1,3,6,2,0,3.51,39,158,97,1.0,0.0,0,1,35,0,0,0,0,1,1,0,4,1,3
1,10,2,45,35,13,4,0,2,10,7,0,7,1,2,0,0,0,0,0,0.258,0.33,0.444,0.773,12,11,9.0,5,2,2,0,0,7,1,0,3.5,31,120,88,0.0,0.0,0,0,31,3,0,0,0,0,0,1,2,1,2
0,3,8,41,35,8,1,0,1,3,4,0,15,2,0,0,0,0,0,0,0.258,0.33,0.443,0.773,15,11,9.0,9,8,6,2,4,6,4,1,3.52,41,161,104,2.0,2.0,0,0,36,0,1,1,0,0,1,1,5,1,2
1,10,3,45,34,12,4,1,3,10,9,0,8,0,1,1,0,0,2,0,0.259,0.331,0.446,0.778,14,11,9.0,11,3,3,0,4,7,0,1,3.52,42,145,86,0.0,0.0,0,0,36,3,0,0,0,1,0,1,4,1,2
